codigo;nombre;fecha_ejecucion;descripcion;entidad;lider;cargo_lider;plataforma;crm
CB-NO-EX-N/A-78066-PRD;04 CONTINGENCIAS\2026\2.- FEBRERO;21/02/2026;"El cambio CRM 78066 se origina por un requerimiento del cliente para ejecutar la contingencia correspondiente al mes de febrero, programada para el 21 de febrero a las 21:00 con una ventana de dos días, cuyo ajuste implica realizar el cambio de rol, suspender temporalmente la conectividad de Claro y Carvajal, validar la conectividad interna y habilitar progresivamente el acceso de los clientes. El procedimiento comprende la ejecución completa del escenario de contingencia durante el fin de semana, con retorno el domingo a las 21:00 y validaciones conjuntas en cada fase; como actividades principales se contempla la inhabilitación de conectividades, la verificación interna, la apertura gradual a los clientes y las validaciones cruzadas, aplicando para el retorno el mismo proceso; en caso de rollback se reinstauran los roles originales, se bloquean nuevamente las conectividades, se realizan validaciones internas y de clientes y se mantiene el monitoreo de servicios; el riesgo se clasifica como moderado y el impacto como alto; el seguimiento incluye la notificación del paso a contingencia, el monitoreo durante su ejecución y el envío de la confirmación del retorno a producción junto con la verificación posterior.";BPO Claro;Orlando Guerrero;Líder técnico;N/A;78066
CB-NO-EX-N/A-78064-PDCL;CRM35824 Generación de certificado WEB SERVICE CUOTA GRATIS - PAGOS EN LINEA;18/02/2026;"El cambio CRM 78064 consiste en la instalación de los certificados de los web services de cuota gratis y pago en línea en producción y Nimbus debido a su próximo vencimiento, programado para hoy a las 23:00. La actividad contempla la instalación de los nuevos certificados, la validación interna de continuidad y la posterior confirmación al cliente para sus pruebas; el rollback implica reinstalar el certificado anterior y repetir las validaciones; el impacto es moderado, el riesgo bajo y el impacto del rollback moderado; el seguimiento incluye notificar al cliente y monitorear los servicios relacionados.";BPO Claro;Orlando Guerrero;Líder técnico;N/A;78064
CB-NO-EX-AS2475-78061 -PRD;PAP proyecto Notificador;19/02/2026;"El cambio corresponde al proyecto AS2475 para Banco Unión, enfocado en habilitar el módulo de notificación transaccional mediante el despliegue de componentes Java y un único componente en AS400, con el fin de dejar operativa toda la solución. La instalación se realizará durante la indisponibilidad generada en la ejecución de la bitácora y los procesos de tarjeta de crédito, ventana usada normalmente para desplegar complementos Java; ante la pregunta “¿hace parte de la misma máquina administrada para Coopcentral?”, se indica que no, y que el control corresponde al equipo de servidores; ante la pregunta “¿se realizaron pruebas de conectividad para el paso a producción?”, se responde que sí, y que las pruebas de VPN y consumo de APIs fueron validadas con el banco durante la semana.
El plan de trabajo abarca la configuración previa realizada con la entidad, el despliegue de componentes Java, la instalación de los objetos Iseries, la configuración final y la validación técnica y funcional con la entidad; no aplica rollback por tratarse de una implementación nueva cuyos componentes no afectan funcionalidades existentes; el riesgo se clasifica como alto por la incorporación de un nuevo módulo y el impacto como moderado por el volumen de componentes; el seguimiento contempla nuevas pruebas de notificación transaccional tras los despliegues.";BPO Banco Unión;Rodrigo Lopez;Líder técnico;AS400/JAVA;78061
CB-NO-EX-N/A-78117-PDCL;Programa alcance cargue archivo Gmf ;18/02/2026;"El cambio corresponde a un ajuste solicitado por Banco Agrario para procesar los registros faltantes del archivo GMF 2025 que no fueron generados por el programa de alcance. El plan de trabajo consiste en entregar el SAVF a la entidad para su instalación y acompañar las pruebas. El impacto es bajo al no afectar procesos adicionales. Y como plan de seguimiento se explica que se verificará que los registros omitidos sean procesados correctamente; el plan de trabajo se limita a la entrega del SAVF y el apoyo en pruebas; no aplica rollback al ejecutarse sobre infraestructura del cliente; el riesgo es bajo al tratarse de una ejecución puntual; el seguimiento confirma la correcta generación de los registros faltantes.";Banco Agrario;Keyner Caraballo;Experto funcional;AS400;78117
CB-NO-IN-AS248201-78126-PRD;Creación de GuardPoint en la carpeta de Gestión Humana del ATLAS;21/02/2026;"El cambio CRM 78126 se origina en el proyecto de ciberseguridad orientado a implementar el cifrado de la información alojada en el servidor Atlas, iniciando por el ciclo correspondiente al área de Gestión Humana, con el fin de proteger la data frente a accesos no autorizados y evitar su legibilidad ante posibles filtraciones; el ajuste solicitado comprende la creación y validación de políticas en la herramienta CypherTrust, la revisión de grupos con acceso y la aplicación del cifrado definida por ciberseguridad. El proceso incluye la elaboración de la política, la configuración del guard point y su aplicación final, quedando el cifrado en manos de ciberseguridad; las actividades del plan de trabajo abarcan la validación de políticas, la verificación de accesos autorizados, la ejecución del cifrado y las revisiones posteriores en conjunto con el área responsable; el rollback consiste en deshabilitar la política y ejecutar el descifrado, operación considerada simple y de rápida ejecución; el riesgo es moderado debido a la facilidad de reversión; el seguimiento contempla la revisión continua del log para identificar accesos no autorizados o usuarios sin permisos, informando a ciberseguridad para los ajustes necesarios.";AS•NET;Leidy Sabogal;Gerente de gestión humana;N/A;78126
CB-NO-IN-AS248201-78125-PRD;Creación de GuardPoint en la carpeta de Contabilidad del ATLAS;21/02/2026;"El cambio CRM 78125 corresponde al cifrado del file system del área de Contabilidad para proteger la información ante accesos no autorizados, basado en el levantamiento de usuarios, grupos y rutas y la posterior creación y aplicación de política. El procedimiento replica el esquema previo de cifrado aplicado en otros servidores; el plan de trabajo incluye el levantamiento de información, la creación de políticas y el cifrado; el rollback consiste en desactivar la política y el guard point y ejecutar el descifrado; el riesgo es moderado por la facilidad de reversión; el seguimiento se centra en la revisión de logs para detectar accesos bloqueados o intentos no autorizados.";AS•NET;Yennifer Beltran;Contadora;N/A;78125
CB-NO-IN-AS227902-78130-PDCL;CRM7885 Pestaña Porcentaje De Avance;19/02/2026;"El cambio CRM 78130 consiste en añadir una nueva pestaña para registrar el porcentaje de avance de cada proyecto dentro de la hoja de vida del aplicativo, permitiendo que los líderes diligencien su progreso real. La funcionalidad amplía la información disponible sin modificar procesos existentes; el plan de trabajo contempla la habilitación de la nueva pestaña y su validación funcional; el rollback implica retirar la funcionalidad y restaurar el estado previo; el riesgo e impacto son bajos al tratarse de una adición aislada; el seguimiento se basa en verificar el correcto acceso y registro de datos.";AS•NET;Michael Valderrama;Ingeniero de proyectos;JAVA;78130
CB-NO-IN-VOIT1200-78133-PRD;Actualizacion GAW;10/03/2026;"El cambio CRM 78133 corresponde a la remediación de una vulnerabilidad crítica de ejecución remota de código en GoAnywhere mediante la actualización a la versión 7.9.1, validada previamente en QA sin incidentes. Ante la pregunta “¿Debería generarse alguna notificación al cliente?”, Illay indica que sí, y que dicha comunicación se realizará tras la aprobación del comité; el plan de trabajo contempla la obtención del backup por parte del proveedor, la aplicación del parche y la reactivación de servicios; el rollback consiste en restaurar el backup en caso de fallas durante la actualización; el impacto es crítico por afectar los pilares de seguridad de la información; el seguimiento se hará con el área de operaciones para validar el restablecimiento de actividades.";AS•NET;Ilay Acosta;Administrador de plataforma;Servidores IT;78133
CB-NO-EX-N/A-78144-PBCL;Solicitud Comité de Cambio Normal-  CRM0036335;Entrega cliente licenciamiento;"El cambio CRM 78144 ajusta la incorporación de comercios provenientes del archivo RBIX para asegurar la actualización correcta del estado activo en establecimientos que no son multifranquicia; ante la pregunta. La modificación permite que estos comercios recuperen su estado al ser activados; el plan de trabajo consiste en solicitar el archivo SAVF a IT y entregarlo al cliente para instalación en su ambiente de pruebas; no aplica rollback, pues cualquier incidencia se revisa con certificación y, de ser necesario, se genera una nueva actualización; el impacto es bajo porque las pruebas se realizan en máquinas del cliente y el cambio solo afecta la incorporación del archivo; el seguimiento contempla validaciones por parte de certificación y soporte técnico si se presentan incidentes.";Banco Davivienda;Cesar Mejia;Líder técnico;AS400;78144
CB-NO-IN-AS244905 -CRM78160-PRD;CRM8628 - Error generación archivos CREXNG - AFINIDAD;18/02/2026;"El cambio corresponde a la reinstalación del programa de extractos del Banco Agrario debido a una desactualización identificada por el equipo durante la revisión del componente; el plan de trabajo incluye solicitar la creación del SAVF según la orden de proceso, realizar la instalación en NAOS y validar el componente con certificación; el rollback contempla restaurar el backup previo, reinstalarlo en NAOS y repetir la validación; el impacto, el riesgo y el impacto del rollback se consideran bajos; el seguimiento consiste en la revisión de los extractos por parte de certificación una vez generada la facturación.";BPO Banco Agrario;Deicy Maldonado;Líder de desarrollo senior;AS400;78160
